自己実現,じこじつげん,self-actualization,<ruby>教育<rt>きょういく</rt></ruby>は<ruby>個人<rt>こじん</rt></ruby>の<ruby><strong>自己実現</strong><rt>じこじつげん</rt></ruby>を<ruby>促<rt>うなが</rt></ruby>す<ruby>重要<rt>じゅうよう</rt></ruby>な<ruby>手段<rt>しゅだん</rt></ruby>だ。,Education is an important means to promote individual self-actualization.
使命,しめい,mission,<ruby>私<rt>わたし</rt></ruby>の<ruby><strong>使命</strong><rt>しめい</rt></ruby>は、<ruby>困難<rt>こんなん</rt></ruby>な<ruby>状況<rt>じょうきょう</rt></ruby>でも<ruby>希望<rt>きぼう</rt></ruby>を<ruby>広<rt>ひろ</rt></ruby>めることだ。,My mission is to spread hope even in difficult situations.
生き甲斐,いきがい,purpose in life,<ruby><strong>生</strong><rt>い</rt></ruby><ruby><strong>き甲斐</strong><rt>きがい</rt></ruby>を<ruby>感<rt>かん</rt></ruby>じる<ruby>瞬間<rt>しゅんかん</rt></ruby>が、<ruby>私<rt>わたし</rt></ruby>の<ruby>日々<rt>ひび</rt></ruby>を<ruby>輝<rt>かがや</rt></ruby>かせる。,Moments when I feel a purpose in life brighten my days.
目的,もくてき,objective,<ruby>明確<rt>めいかく</rt></ruby>な<ruby><strong>目的</strong><rt>もくてき</rt></ruby>を<ruby>持<rt>も</rt></ruby>って<ruby>行動<rt>こうどう</rt></ruby>することが<ruby>重要<rt>じゅうよう</rt></ruby>だ。,It's important to act with a clear objective.
目標,もくひょう,goal,<ruby>彼<rt>かれ</rt></ruby>は<ruby>大<rt>おお</rt></ruby>きな<ruby><strong>目標</strong><rt>もくひょう</rt></ruby>を<ruby>掲<rt>かか</rt></ruby>げて<ruby>努力<rt>どりょく</rt></ruby>している。,He is working hard with a big goal in mind.
価値観,かちかん,values,<ruby>自分<rt>じぶん</rt></ruby>の<ruby><strong>価値観</strong><rt>かちかん</rt></ruby>に<ruby>忠実<rt>ちゅうじつ</rt></ruby>であることが、<ruby>成功<rt>せいこう</rt></ruby>への<ruby>鍵<rt>かぎ</rt></ruby>だ。,Being true to one's values is the key to success.
探求,たんきゅう,quest,<ruby><strong>探求</strong><rt>たんきゅう</rt></ruby>することの<ruby>大切<rt>たいせつ</rt></ruby>さを<ruby>忘<rt>わす</rt></ruby>れてはならない。,We must not forget the importance of the quest.
成長,せいちょう,growth,<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>日々<rt>ひび</rt></ruby>の<ruby><strong>成長</strong><rt>せいちょう</rt></ruby>を<ruby>大切<rt>たいせつ</rt></ruby>にしている。,She values daily growth.
志,こころざし,ambition,<ruby>若者<rt>わかもの</rt></ruby>たちは<ruby>高<rt>たか</rt></ruby>い<ruby><strong>志</strong><rt>こころざし</rt></ruby>を<ruby>持<rt>も</rt></ruby>って<ruby>未来<rt>みらい</rt></ruby>に<ruby>進<rt>すす</rt></ruby>んでいる。,Young people are moving forward into the future with high ambitions.
挑戦,ちょうせん,challenge,<ruby>新<rt>あたら</rt></ruby>しい<ruby><strong>挑戦</strong><rt>ちょうせん</rt></ruby>を<ruby>恐<rt>おそ</rt></ruby>れずに<ruby>受<rt>う</rt></ruby>け<ruby>入<rt>い</rt></ruby>れる<ruby>姿勢<rt>しせい</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>だ。,An attitude of embracing new challenges without fear is necessary.
自己啓発,じこけいはつ,self-improvement,<ruby>彼<rt>かれ</rt></ruby>は<ruby>毎日<rt>まいにち</rt></ruby><ruby><strong>自己啓発</strong><rt>じこけいはつ</rt></ruby>の<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>んでいる。,He reads self-improvement books every day.
自己分析,じこぶんせき,self-analysis,<ruby>新<rt>あたら</rt></ruby>しい<ruby>仕事<rt>しごと</rt></ruby>を<ruby>探<rt>さが</rt></ruby>す<ruby>前<rt>まえ</rt></ruby>に、<ruby><strong>自己分析</strong><rt>じこぶんせき</rt></ruby>を<ruby>行<rt>おこな</rt></ruby>うことが<ruby>重要<rt>じゅうよう</rt></ruby>だ。,It is important to conduct self-analysis before looking for a new job.
