人工知能,じんこうちのう,artificial intelligence,<ruby>人工知能<rt>じんこうちのう</rt></ruby>は、<ruby>多<rt>おお</rt></ruby>くの<ruby>分野<rt>ぶんや</rt></ruby>で<ruby><strong>人工知能</strong></ruby>が<ruby>活用<rt>かつよう</rt></ruby>されている。,Artificial intelligence is being utilized in many fields.
機械学習,きかいがくしゅう,machine learning,<ruby>彼<rt>かれ</rt></ruby>は<ruby>最新<rt>さいしん</rt></ruby>の<ruby><strong>機械学習</strong><rt>きかいがくしゅう</rt></ruby>アルゴリズムを<ruby>研究<rt>けんきゅう</rt></ruby>している。,He is researching the latest machine learning algorithms.
ディープラーニング,ディープラーニング,deep learning,<strong>ディープラーニング</strong>は、<ruby>画像<rt>がぞう</rt></ruby>の<ruby>認識<rt>にんしき</rt></ruby>に<ruby>利用<rt>りよう</rt></ruby>されている。,Deep learning is used in image recognition.
汎用人工知能,はんようじんこうちのう,AGI (Artificial General Intelligence),<ruby><strong>汎用人工知能</strong><rt>はんようじんこうちのう</rt></ruby>の<ruby>開発<rt>かいはつ</rt></ruby>はまだ<ruby>初期<rt>しょき</rt></ruby>の<ruby>段階<rt>だんかい</rt></ruby>だ。,The development of AGI is still in its early stages.
人工超知能,じんこうちょうちのう,ASI (Artificial Superintelligence),<ruby><strong>人工超知能</strong><rt>じんこうちょうちのう</rt></ruby>が<ruby>実現<rt>じつげん</rt></ruby>すれば、<ruby>人類<rt>じんるい</rt></ruby>の<ruby>未来<rt>みらい</rt></ruby>は<ruby>大<rt>おお</rt></ruby>きく<ruby>変<rt>か</rt></ruby>わるかもしれない。,"If ASI is realized, the future of humanity may change dramatically."
ニューラルネットワーク,ニューラルネットワーク,neural network,<strong>ニューラルネットワーク</strong>は、<ruby>人間<rt>にんげん</rt></ruby>の<ruby>脳<rt>のう</rt></ruby>を<ruby>模倣<rt>もほう</rt></ruby>する<ruby>技術<rt>ぎじゅつ</rt></ruby>だ。,Neural networks are technology that mimics the human brain.
強化学習,きょうかがくしゅう,reinforcement learning,<ruby><strong>強化学習</strong><rt>きょうかがくしゅう</rt></ruby>は、ゲームの<ruby>戦略<rt>せんりゃく</rt></ruby>を<ruby>学習<rt>がくしゅう</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Reinforcement learning is used to learn game strategies.
自然言語処理,しぜんげんごしょり,natural language processing,<ruby><strong>自然言語処理</strong><rt>しぜんげんごしょり</rt></ruby>は、<ruby>人間<rt>にんげん</rt></ruby>の<ruby>言語<rt>げんご</rt></ruby>を<ruby>理解<rt>りかい</rt></ruby>するための<ruby>技術<rt>ぎじゅつ</rt></ruby>だ。,Natural language processing is a technology for understanding human language.
データマイニング,データマイニング,data mining,<strong>データマイニング</strong>は、<ruby>大<rt>おお</rt></ruby>きなデータセットから<ruby>有用<rt>ゆうよう</rt></ruby>な<ruby>情報<rt>じょうほう</rt></ruby>を<ruby>抽出<rt>ちゅうしゅつ</rt></ruby>する。,Data mining extracts useful information from large data sets.
アルゴリズム,アルゴリズム,algorithm,<ruby>効率<rt>こうりつ</rt></ruby>の<ruby>良<rt>よ</rt></ruby>い<strong>アルゴリズム</strong>を<ruby>設計<rt>せっけい</rt></ruby>することが<ruby>重要<rt>じゅうよう</rt></ruby>だ。,Designing efficient algorithms is important.
ビッグデータ,ビッグデータ,big data,<strong>ビッグデータ</strong>は、<ruby>市場<rt>しじょう</rt></ruby>の<ruby>動向<rt>どうこう</rt></ruby>を<ruby>予測<rt>よそく</rt></ruby>するのに<ruby>役立<rt>やくだ</rt></ruby>つ。,Big data helps in predicting market trends.
自動運転車,じどううんてんしゃ,self-driving car,<ruby>多<rt>おお</rt></ruby>くの<ruby>企業<rt>きぎょう</rt></ruby>が<ruby><strong>自動運転車</strong><rt>じどううんてんしゃ</rt></ruby>の<ruby>開発<rt>かいはつ</rt></ruby>を<ruby>進<rt>すす</rt></ruby>めている。,Many companies are advancing the development of self-driving cars.
クラウドコンピューティング,クラウドコンピューティング,cloud computing,<strong>クラウドコンピューティング</strong>は、データの<ruby>保存<rt>ほぞん</rt></ruby>に<ruby>便利<rt>べんり</rt></ruby>だ。,Cloud computing is convenient for data storage.
データサイエンス,データサイエンス,data science,<strong>データサイエンス</strong>は、<ruby>複雑<rt>ふくざつ</rt></ruby>な<ruby>問題<rt>もんだい</rt></ruby>を<ruby>解決<rt>かいけつ</rt></ruby>するための<ruby>鍵<rt>かぎ</rt></ruby>だ。,Data science is the key to solving complex problems.
ロボット工学,ロボットこうがく,robotics,ロボット<ruby><strong>工学</strong><rt>こうがく</rt></ruby>は、<ruby>製造<rt>せいぞう</rt></ruby>プロセスを<ruby>改善<rt>かいぜん</rt></ruby>する。,Robotics improves manufacturing processes.
アルゴリズムトレーディング,アルゴリズムトレーディング,algorithmic trading,<strong>アルゴリズムトレーディング</strong>は<ruby>金融市場<rt>きんゆうしじょう</rt></ruby>で<ruby>広<rt>ひろ</rt></ruby>く<ruby>使<rt>つか</rt></ruby>われている。,Algorithmic trading is widely used in financial markets.
フェイスリコグニション,フェイスリコグニション,face recognition,<strong>フェイスリコグニション</strong>は、セキュリティの<ruby>分野<rt>ぶんや</rt></ruby>で<ruby>重要<rt>じゅうよう</rt></ruby>な<ruby>役割<rt>やくわり</rt></ruby>を<ruby>果<rt>は</rt></ruby>たしている。,Face recognition plays an important role in security.
自動翻訳,じどうほんやく,machine translation,<ruby><strong>自動翻訳</strong><rt>じどうほんやく</rt></ruby>は、<ruby>異文化<rt>いぶんか</rt></ruby>コミュニケーションを<ruby>促進<rt>そくしん</rt></ruby>する。,Machine translation facilitates cross-cultural communication.
人工生命,じんこうせいめい,artificial life,<ruby>研究者<rt>けんきゅうしゃ</rt></ruby>たちは<ruby><strong>人工生命</strong><rt>じんこうせいめい</rt></ruby>の<ruby>創造<rt>そうぞう</rt></ruby>を<ruby>目指<rt>めざ</rt></ruby>している。,Researchers aim to create artificial life.
知識グラフ,ちしきグラフ,knowledge graph,<ruby><strong>知識</strong><rt>ちしき</rt></ruby>グラフは、<ruby>情報<rt>じょうほう</rt></ruby>を<ruby>整理<rt>せいり</rt></ruby>しやすくするために<ruby>使<rt>つか</rt></ruby>われる。,Knowledge graphs are used to organize information more easily.
感情分析,かんじょうぶんせき,sentiment analysis,<ruby><strong>感情分析</strong><rt>かんじょうぶんせき</rt></ruby>は、<ruby>顧客<rt>こきゃく</rt></ruby>の<ruby>意見<rt>いけん</rt></ruby>を<ruby>理解<rt>りかい</rt></ruby>するのに<ruby>役立<rt>やくだ</rt></ruby>つ。,Sentiment analysis helps in understanding customer opinions.
自動音声認識,じどうおんせいにんしき,automatic speech recognition,<ruby><strong>自動音声認識</strong><rt>じどうおんせいにんしき</rt></ruby>は、<ruby>電話応対<rt>でんわおうたい</rt></ruby>システムで<ruby>使<rt>つか</rt></ruby>われている。,Automatic speech recognition is used in telephone response systems.
生成モデル,せいせいモデル,generative model,<ruby><strong>生成</strong><rt>せいせい</rt></ruby>モデルは、<ruby>新<rt>あたら</rt></ruby>しいデータを<ruby>生成<rt>せいせい</rt></ruby>するために<ruby>利用<rt>りよう</rt></ruby>される。,Generative models are used to create new data.
エッジコンピューティング,エッジコンピューティング,edge computing,<strong>エッジコンピューティング</strong>は、リアルタイムの<ruby>処理<rt>しょり</rt></ruby>を<ruby>可能<rt>かのう</rt></ruby>にする。,Edge computing enables real-time processing.
フィードバックループ,フィードバックループ,feedback loop,<strong>フィードバックループ</strong>は、システムの<ruby>改善<rt>かいぜん</rt></ruby>に<ruby>重要<rt>じゅうよう</rt></ruby>な<ruby>役割<rt>やくわり</rt></ruby>を<ruby>果<rt>は</rt></ruby>たす。,Feedback loops play an important role in system improvement.
デジタルツイン,デジタルツイン,digital twin,<strong>デジタルツイン</strong>は、<ruby>物理的<rt>ぶつりてき</rt></ruby>オブジェクトを<ruby>模倣<rt>もほう</rt></ruby>する<ruby>技術<rt>ぎじゅつ</rt></ruby>だ。,Digital twins are technology that mimic physical objects.
AI倫理,エーアイりんり,AI ethics,<ruby><strong>AI倫理</strong><rt>エーアイりんり</rt></ruby>は、<ruby>技術<rt>ぎじゅつ</rt></ruby>の<ruby>発展<rt>はってん</rt></ruby>と<ruby>共<rt>とも</rt></ruby>に<ruby>議論<rt>ぎろん</rt></ruby>される<ruby>必要<rt>ひつよう</rt></ruby>がある。,AI ethics need to be discussed alongside technological advancements.
データサイエンティスト,データサイエンティスト,data scientist,<ruby>彼<rt>かれ</rt></ruby>は<ruby>優秀<rt>ゆうしゅう</rt></ruby>な<strong>データサイエンティスト</strong>として<ruby>働<rt>はたら</rt></ruby>いている。,He works as an excellent data scientist.
量子コンピュータ,りょうしコンピュータ,quantum computer,<ruby><strong>量子</strong><rt>りょうし</rt></ruby>コンピュータは、<ruby>従来<rt>じゅうらい</rt></ruby>の<ruby>計算機<rt>けいさんき</rt></ruby>よりも<ruby>高速<rt>こうそく</rt></ruby>に<ruby>複雑<rt>ふくざつ</rt></ruby>な<ruby>計算<rt>けいさん</rt></ruby>を<ruby>処理<rt>しょり</rt></ruby>することができる。,Quantum computers can perform complex calculations faster than traditional computers.
ディープフェイク,ディープフェイク,deepfake,<strong>ディープフェイク</strong>は、<ruby>偽<rt>にせ</rt></ruby>の<ruby>映像<rt>えいぞう</rt></ruby>を<ruby>作<rt>つく</rt></ruby>る<ruby>技術<rt>ぎじゅつ</rt></ruby>であるため、<ruby>倫理的<rt>りんりてき</rt></ruby>な<ruby>問題<rt>もんだい</rt></ruby>がある。,"Deepfake is a technology for creating fake videos, raising ethical concerns."
